city,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
teahupoo,-17.8333,-149.2667,75.2,88,75,32.21,PF,1612670013
kon tum,14.35,108.0,88.11,38,22,2.26,VN,1612670013
richards bay,-28.783,32.0377,72.81,86,62,8.23,ZA,1612670013
bilma,18.6853,12.9164,57.97,31,34,5.77,NE,1612669473
gigmoto,13.7796,124.39,82.65,72,83,13.06,PH,1612670013
nanortalik,60.1432,-45.2371,27.0,93,100,3.24,GL,1612670013
jalu,29.0331,21.5482,56.34,46,0,8.72,LY,1612669821
upernavik,72.7868,-56.1549,19.54,76,20,6.51,GL,1612670014
sao joao da barra,-21.6403,-41.0511,68.9,95,100,13.85,BR,1612669520
port alfred,-33.5906,26.891,68.0,83,34,4.0,ZA,1612669505
beyneu,45.3167,55.2,30.92,86,85,9.75,KZ,1612670014
porto santo,33.072,-16.3415,57.2,72,20,10.36,PT,1612670014
sidi ali,36.0998,0.4206,50.85,86,99,14.83,DZ,1612670014
ribeira grande,38.5167,-28.7,61.23,89,94,21.97,PT,1612669546
abu samrah,35.3029,37.1841,48.25,75,0,5.55,SY,1612669998
vostok,46.4856,135.8833,-2.61,89,100,5.46,RU,1612669901
mogzon,51.7435,111.9606,2.61,90,100,4.32,RU,1612670014
srednekolymsk,67.45,153.6833,-13.94,83,1,1.36,RU,1612669444
krasnoborsk,61.5598,45.934,-16.69,85,99,9.69,RU,1612670015
rumilly,45.8667,5.95,48.2,81,90,8.05,FR,1612670015
qaanaaq,77.484,-69.3632,12.47,91,100,5.66,GL,1612670015
jaipur,26.9167,75.8167,60.8,51,0,2.3,IN,1612670015
antalaha,-14.9003,50.2788,77.54,81,96,3.8,MG,1612669276
mount isa,-20.7333,139.5,80.6,89,90,9.22,AU,1612669794
kapaa,22.0752,-159.319,71.6,56,75,3.44,US,1612669917
port hardy,50.6996,-127.4199,41.0,87,90,8.05,CA,1612669806
vila,42.0304,-8.1588,34.0,93,56,1.36,PT,1612670016
north bend,43.4065,-124.2243,46.99,93,90,4.61,US,1612670016
kupino,54.3663,77.2981,34.03,91,100,24.72,RU,1612670016
georgetown,5.4112,100.3354,87.8,66,20,3.44,MY,1612670016
fayaoue,-20.65,166.5333,80.69,70,0,2.21,NC,1612669938
cartagena,10.3997,-75.5144,78.8,83,0,9.22,CO,1612669742
bethel,41.3712,-73.414,32.0,68,1,3.78,US,1612669923
monte patria,-30.6919,-70.9467,60.15,63,0,0.63,CL,1612670016
port blair,11.6667,92.75,84.2,74,40,10.36,IN,1612669704
itaueira,-7.6033,-43.0256,72.12,87,96,1.16,BR,1612670016
buraydah,26.326,43.975,48.2,100,75,4.61,SA,1612669722
huangchuan,32.1272,115.0394,60.85,45,45,5.77,CN,1612670017
codrington,-38.2667,141.9667,63.54,60,73,14.76,AU,1612669943
maniitsoq,65.4167,-52.9,31.57,81,0,23.58,GL,1612670017
bubaque,11.2833,-15.8333,77.7,51,52,22.44,GW,1612670017
xuddur,4.1213,43.8894,65.77,86,18,17.16,SO,1612670011
alofi,-19.0595,-169.9187,84.2,79,100,10.36,NU,1612669504
cidreira,-30.1811,-50.2056,66.49,78,5,7.16,BR,1612670017
sitka,57.0531,-135.33,32.0,55,20,4.61,US,1612669941
olafsvik,64.8945,-23.7142,34.23,82,13,15.55,IS,1612670017
ponta do sol,32.6667,-17.1,54.0,64,33,4.0,PT,1612669452
mehran,33.1222,46.1646,42.8,93,90,5.28,IR,1612670018
bathsheba,13.2167,-59.5167,77.0,73,40,20.71,BB,1612670009
klyuchi,52.2667,79.1667,36.09,90,94,19.39,RU,1612670018
phultala,22.7,89.5167,73.27,47,70,6.53,BD,1612670018
aksarka,66.5606,67.7975,-32.31,83,100,23.13,RU,1612669811
boyolangu,-8.1181,111.8935,87.31,65,20,6.82,ID,1612669750
waingapu,-9.6567,120.2641,86.52,65,39,8.75,ID,1612670018
rocha,-34.4833,-54.3333,62.62,93,2,3.47,UY,1612670018
dangara,29.6799,75.8931,60.13,47,0,6.76,IN,1612670018
ambilobe,-13.2,49.05,76.01,89,68,2.33,MG,1612669936
norman wells,65.282,-126.8329,-29.2,75,75,3.44,CA,1612670019
pirapemas,-3.7267,-44.2233,72.43,95,88,1.07,BR,1612670019
shakawe,-18.3667,21.85,68.36,94,99,5.3,BW,1612669773
warkworth,-36.4,174.6667,78.01,57,94,3.0,NZ,1612670019
sistranda,63.7256,8.834,21.2,86,20,13.8,NO,1612670019
greeley,40.4233,-104.7091,24.01,80,90,5.75,US,1612670019
talnakh,69.4865,88.3972,-30.17,72,0,1.34,RU,1612669529
provideniya,64.3833,-173.3,-2.06,85,1,8.66,RU,1612670040
cachoeiras de macacu,-22.4625,-42.6531,77.0,90,100,1.72,BR,1612670041
nahrin,36.0649,69.1334,54.3,40,40,2.86,AF,1612670041
torbay,47.6666,-52.7314,37.99,100,90,24.16,CA,1612669918
santa isabel do rio negro,-0.4139,-65.0192,74.43,94,88,0.74,BR,1612670041
vardo,70.3705,31.1107,26.01,92,99,27.96,NO,1612669923
naze,28.3667,129.4833,68.0,56,40,10.36,JP,1612669947
sonepur,20.8333,83.9167,73.33,35,0,2.71,IN,1612670042
buckeye,33.3703,-112.5838,60.01,35,0,5.75,US,1612670022
midland,31.9974,-102.0779,50.0,17,1,4.61,US,1612669946
east london,-33.0153,27.9116,66.2,94,20,11.5,ZA,1612669495
quatre cocos,-20.2078,57.7625,81.0,94,40,3.44,MU,1612670042
bayeux,-7.125,-34.9322,78.8,83,0,3.44,BR,1612670042
ondjiva,-17.0667,15.7333,71.87,58,98,5.41,AO,1612670042
baculin,7.4525,126.5842,80.55,81,100,8.19,PH,1612670042
andijon,40.7821,72.3442,44.6,49,75,6.71,UZ,1612669449
vasai,19.47,72.8,78.8,27,0,8.05,IN,1612669860
shirokiy,49.758,129.523,-10.19,88,38,8.52,RU,1612670043
xining,36.6167,101.7667,31.82,61,73,2.48,CN,1612669462
jieshi,22.8134,115.8257,72.0,62,0,15.32,CN,1612670043
kavieng,-2.5744,150.7967,85.66,65,67,5.48,PG,1612669799
mar del plata,-38.0023,-57.5575,64.0,77,20,11.5,AR,1612669346
vestmannaeyjar,63.4427,-20.2734,36.55,81,41,21.72,IS,1612669491
san policarpo,12.1791,125.5072,81.37,85,40,14.65,PH,1612670043
gambiran,-6.7988,111.4951,83.7,76,59,16.26,ID,1612670043
gawler,-34.6,138.7333,70.0,61,60,4.0,AU,1612669841
kirakira,-10.4544,161.9205,79.56,86,100,9.73,SB,1612669202
marzuq,14.4,46.4667,58.89,67,0,1.83,YE,1612670043
kismayo,-0.3582,42.5454,77.13,81,25,11.86,SO,1612670044
schattdorf,46.8655,8.6547,41.0,87,0,5.75,CH,1612670044
zhezkazgan,47.8043,67.7144,14.54,94,46,12.01,KZ,1612670044
lagoa,39.05,-27.9833,60.22,91,98,27.87,PT,1612669821
duluth,46.7833,-92.1066,-11.2,53,1,16.11,US,1612670044
piacabucu,-10.4056,-36.4344,77.67,85,37,11.97,BR,1612670044
dingle,10.9995,122.6711,82.35,79,58,13.65,PH,1612670044
cayenne,4.9333,-52.3333,77.0,100,90,4.61,GF,1612670044
severo-kurilsk,50.6789,156.125,21.92,94,100,24.45,RU,1612670044
pontal do parana,-25.6533,-48.5128,59.0,95,68,4.0,BR,1612669792
bharatpur,27.2167,77.4833,63.21,35,0,7.18,IN,1612670045
imeni zhelyabova,58.9544,36.5956,4.55,93,100,10.11,RU,1612670045
castro,-24.7911,-50.0119,60.75,90,67,9.62,BR,1612669878
sehithwa,-20.4667,22.7167,69.42,92,100,4.18,BW,1612670045
grand gaube,-20.0064,57.6608,81.0,82,1,3.0,MU,1612669784
rabo de peixe,37.8,-25.5833,59.0,94,75,17.27,PT,1612670045
veracruz,19.3333,-96.6667,75.99,94,1,4.61,MX,1612669809
iracoubo,5.4802,-53.2011,76.82,88,99,11.45,GF,1612670045
berlevag,70.8578,29.0864,26.08,92,100,25.99,NO,1612669974
lebu,-37.6167,-73.65,57.33,93,17,2.77,CL,1612670045
ketchikan,55.3422,-131.6461,37.4,93,40,6.91,US,1612670005
wenatchee,47.4235,-120.3103,45.0,70,1,11.5,US,1612670046
nova odesa,47.3078,31.7851,26.91,87,97,9.1,UA,1612670046
labrea,-7.2586,-64.7981,74.82,97,100,2.75,BR,1612669826
faya,18.3851,42.4509,48.2,87,0,3.69,SA,1612670046
necochea,-38.5473,-58.7368,57.99,85,14,9.53,AR,1612670046
auki,-8.7676,160.7034,77.07,90,100,11.9,SB,1612669818
onega,63.9061,38.1404,-11.72,88,25,4.88,RU,1612670046
kavaratti,10.5669,72.642,81.64,59,86,8.75,IN,1612670046
xinqing,48.2333,129.5,-0.92,83,98,7.49,CN,1612670046
brookings,44.3114,-96.7984,-9.0,77,1,4.61,US,1612670047
roebourne,-20.7833,117.1333,86.22,42,0,13.27,AU,1612670047
paamiut,61.994,-49.6678,26.06,80,75,3.38,GL,1612669795
gravdal,68.1214,13.5031,30.94,94,68,6.89,NO,1612670047
cap malheureux,-19.9842,57.6142,82.0,80,1,4.0,MU,1612670047
clyde river,70.4692,-68.5914,-11.2,84,20,2.3,CA,1612669806
mahon,39.8885,4.2658,53.6,87,20,8.05,ES,1612670047
pringsewu,-5.3582,104.9744,81.63,77,100,5.39,ID,1612670047
kenitra,34.261,-6.5802,50.0,93,75,12.66,MA,1612670047
medicine hat,50.0501,-110.6683,-9.0,70,90,9.22,CA,1612670047
soyo,-6.1349,12.3689,79.52,85,100,7.18,AO,1612670048
luderitz,-26.6481,15.1594,67.03,73,0,24.74,NA,1612670048
longyearbyen,78.2186,15.6401,14.0,79,75,14.97,SJ,1612669967
iqaluit,63.7506,-68.5145,24.8,68,90,5.75,CA,1612670048
matagami,49.7502,-77.6328,1.4,85,90,3.44,CA,1612670049
suntar,62.1444,117.6319,-6.97,90,98,3.53,RU,1612670049
anadyr,64.75,177.4833,-11.0,77,0,4.47,RU,1612669916
bafia,4.75,11.2333,68.29,97,98,1.9,CM,1612670049
san cristobal,7.7669,-72.225,65.75,88,100,1.68,VE,1612669552
vao,-22.6667,167.4833,78.55,80,0,11.39,NC,1612670050
moree,-29.4667,149.85,87.8,33,40,16.11,AU,1612670028
santiago del estero,-27.7951,-64.2615,72.0,64,0,1.99,AR,1612669767
puerto ayacucho,5.6639,-67.6236,78.89,66,100,5.17,VE,1612670050
marsa matruh,31.3525,27.2453,48.2,93,0,6.91,EG,1612670008
adrar,20.5022,-10.0711,53.76,43,99,11.9,MR,1612669801
naryan-mar,67.6713,53.087,-24.2,85,100,12.95,RU,1612670050
puerto escondido,15.85,-97.0667,76.96,75,3,5.73,MX,1612669818
kruisfontein,-34.0033,24.7314,66.99,79,1,3.0,ZA,1612670050
pisco,-13.7,-76.2167,69.8,83,75,3.44,PE,1612669542
lima,-12.0432,-77.0282,75.0,73,75,6.91,PE,1612670051
fare,-16.7,-151.0167,82.56,69,4,10.07,PF,1612670051
zaozerne,45.1582,33.2787,34.63,88,99,17.65,UA,1612670051
kaitangata,-46.2817,169.8464,66.0,74,3,8.99,NZ,1612669833
la rioja,42.25,-2.5,37.4,93,0,10.36,ES,1612670051
salisbury,51.0693,-1.7957,37.0,100,75,18.41,GB,1612669802
casas grandes,30.3667,-107.95,48.92,43,0,0.56,MX,1612670051
roald,62.5833,6.1333,24.8,68,2,12.66,NO,1612670051
coihaique,-45.5752,-72.0662,60.8,55,0,14.97,CL,1612669953
athabasca,54.7169,-113.2854,-31.0,68,97,1.14,CA,1612670051
haines junction,60.7522,-137.5108,-20.2,76,64,1.14,CA,1612670051
healesville,-37.65,145.5167,64.99,77,82,8.01,AU,1612670052
tazovskiy,67.4667,78.7,-22.65,86,98,12.01,RU,1612670052
sakaiminato,35.55,133.2333,53.6,62,75,11.5,JP,1612670052
lewisburg,35.4492,-86.7889,33.8,93,90,4.61,US,1612670052
boende,-0.2167,20.8667,71.76,90,7,2.06,CD,1612670052
endirey,43.1632,46.654,33.85,86,5,7.14,RU,1612670052
murgab,37.4966,61.9714,44.6,81,75,4.61,TM,1612670052
la ronge,55.1001,-105.2842,-27.4,68,23,5.75,CA,1612669645
fairbanks,64.8378,-147.7164,-5.01,77,90,2.62,US,1612669917
carnarvon,-24.8667,113.6333,86.0,100,40,12.66,AU,1612670053
egvekinot,66.3167,-179.1667,-8.1,74,0,5.99,RU,1612670053
cherskiy,68.75,161.3,-4.18,81,0,2.95,RU,1612670053
coahuayana,18.7333,-103.6833,69.62,86,0,2.68,MX,1612669826
pathalgaon,22.5667,83.4667,66.76,32,0,4.81,IN,1612670053
esperance,-33.8667,121.9,60.8,94,90,12.66,AU,1612670053
derzhavinsk,51.1,66.3167,5.56,92,100,24.18,KZ,1612670054
mogadishu,2.0371,45.3438,76.32,80,1,18.21,SO,1612670054
zeitz,51.05,12.15,25.0,98,100,1.99,DE,1612670054
nalut,30.3333,10.85,60.48,30,100,3.67,LY,1612670054
hoi an,15.8794,108.335,75.2,78,75,2.3,VN,1612670054
moba,33.2288,105.0179,44.85,48,37,4.94,CN,1612670054
gamba,-2.65,10.0,78.15,89,95,2.66,GA,1612670054
gobabis,-22.45,18.9667,66.92,78,0,6.29,NA,1612670017
fraga,41.5229,0.3489,45.0,81,90,13.8,ES,1612670055
tapiogyorgye,47.335,19.9528,33.8,86,90,11.5,HU,1612670055
camacha,33.0833,-16.3333,57.2,72,20,10.36,PT,1612669923
aykhal,66.0,111.5,-28.68,83,60,8.77,RU,1612669823
lavrentiya,65.5833,-171.0,-12.17,79,0,4.25,RU,1612670055
doha,25.2867,51.5333,69.8,83,0,5.75,QA,1612669920
lerwick,60.1545,-1.1494,33.8,64,90,18.41,GB,1612669817
taganak,6.0833,118.3,84.2,79,20,3.44,PH,1612670056
huarmey,-10.0681,-78.1522,71.37,76,100,7.29,PE,1612670056
peniche,39.3558,-9.3811,53.01,68,11,8.99,PT,1612670056
souillac,-20.5167,57.5167,77.0,94,40,3.44,MU,1612669819
bandar-e anzali,37.4727,49.4622,48.2,100,90,3.47,IR,1612670057
waxahachie,32.3865,-96.8483,46.4,76,75,5.75,US,1612670057
neiafu,-18.65,-173.9833,78.8,94,90,12.66,TO,1612669551
danielskuil,-28.1887,23.5395,62.82,91,4,8.55,ZA,1612670057
sao filipe,14.8961,-24.4956,68.56,75,19,15.08,CV,1612669796
ahipara,-35.1667,173.1667,68.07,69,97,1.57,NZ,1612669931
makakilo city,21.3469,-158.0858,78.8,44,1,13.8,US,1612670058
san patricio,28.017,-97.5169,64.4,67,1,5.75,US,1612669551
parana,-31.732,-60.5238,71.01,72,0,7.16,AR,1612669975
portland,45.5234,-122.6762,46.99,87,75,6.91,US,1612669419
tashtagol,52.7657,87.8894,25.32,93,0,3.56,RU,1612670058
